node1,node2,d_geo,d_geo_norm,d_brand,d_socio_pca,d_socio_norm,ecc,combined_weight,formula
23,33,0.9622469558272879,0.16213263196315852,1.0,0.0,0.0,1.0,0.23187151605457937,(0.69*0.162 + 0.12*1.000 + 0.19*0.000) / 1.000
23,326,0.7856774230405813,0.1323817630185003,1.0,0.6275575689546616,0.5619554512607061,0.5,0.6362299044445987,(0.69*0.132 + 0.12*1.000 + 0.19*0.562) / 0.500
23,32,0.2590517897398016,0.04364861663726522,1.0,0.0,0.0,1.0,0.150117545479713,(0.69*0.044 + 0.12*1.000 + 0.19*0.000) / 1.000
24,34,0.5735894845173576,0.09664626344412414,1.0,0.0,0.0,0.6,0.31114320296074277,(0.69*0.097 + 0.12*1.000 + 0.19*0.000) / 0.600
24,29,1.0162438934238012,0.17123078037241624,0.5,0.0,0.0,0.6,0.29691539742827866,(0.69*0.171 + 0.12*0.500 + 0.19*0.000) / 0.600
24,28,0.34406962838216143,0.05797359408658752,0.5,0.0,0.0,0.75,0.1333357065596605,(0.69*0.058 + 0.12*0.500 + 0.19*0.000) / 0.750
25,26,1.1860449189960964,0.1998411979158116,0.5,0.0,0.0,0.75,0.26385390208254667,(0.69*0.200 + 0.12*0.500 + 0.19*0.000) / 0.750
26,28,0.6107315300044162,0.10290446728134472,0.5,0.0,0.0,0.75,0.17467210989883716,(0.69*0.103 + 0.12*0.500 + 0.19*0.000) / 0.750
27,35,0.5630645503281994,0.0948728774427518,1.0,0.0,0.0,0.75,0.24728304724733166,(0.69*0.095 + 0.12*1.000 + 0.19*0.000) / 0.750
27,245,2.405522541665802,0.40531559862579186,1.0,0.32922015070119914,0.29480491910818785,0.6,0.7594678294705868,(0.69*0.405 + 0.12*1.000 + 0.19*0.295) / 0.600
27,271,1.7548127463224261,0.29567504208848855,0.5,0.32922015070119914,0.29480491910818785,1.0,0.3200287136716128,(0.69*0.296 + 0.12*0.500 + 0.19*0.295) / 1.000
27,243,1.6659179636585348,0.2806968236656531,1.0,0.32922015070119914,0.29480491910818785,0.6,0.6161562382664271,(0.69*0.281 + 0.12*1.000 + 0.19*0.295) / 0.600
28,34,0.8219941061068861,0.1385008984172188,1.0,0.0,0.0,0.75,0.2874208265438413,(0.69*0.139 + 0.12*1.000 + 0.19*0.000) / 0.750
29,286,2.564988557530267,0.4321846312625915,1.0,0.6275575689546616,0.5619554512607061,0.5,1.0499578626214445,(0.69*0.432 + 0.12*1.000 + 0.19*0.562) / 0.500
29,324,2.9583617458496545,0.4984655687908668,0.5,0.6275575689546616,0.5619554512607061,0.5,1.0214255564104644,(0.69*0.498 + 0.12*0.500 + 0.19*0.562) / 0.500
32,326,0.6474645155044528,0.1090937470529447,0.5,0.6275575689546616,0.5619554512607061,1.0,0.24204622120606598,(0.69*0.109 + 0.12*0.500 + 0.19*0.562) / 1.000
32,292,0.6939847328268275,0.11693211456172016,1.0,0.6275575689546616,0.5619554512607061,1.0,0.30745469478712106,(0.69*0.117 + 0.12*1.000 + 0.19*0.562) / 1.000
