node_id,store_id,brand,region,longitude,latitude,community_id,is_generator,is_boundary_node
319,391,7-Eleven,PERMAS,103.840813,1.4897019,2,False,False
320,393,7-Eleven,PERMAS,103.915407,1.512773,1,False,False
321,394,7-Eleven,PERMAS,103.8497429,1.489517,2,False,False
322,395,7-Eleven,PERMAS,103.8424579,1.49267,2,False,False
323,398,7-Eleven,PERMAS,103.8309598,1.489155,2,False,False
324,430,7-Eleven,PERMAS,103.8122485,1.4981442,2,False,True
325,462,7-Eleven,PERMAS,103.8821895,1.4869198,2,False,False
326,463,7-Eleven,PERMAS,103.8799296,1.4960407,2,False,True
327,464,7-Eleven,PERMAS,103.9153779,1.500454,1,False,False
328,482,7-Eleven,PERMAS,103.897656,1.472669,2,False,True
329,483,7-Eleven,PERMAS,103.8941562,1.4790066,2,False,False
330,484,7-Eleven,PERMAS,103.9014733,1.4838593,2,False,True
331,485,7-Eleven,PERMAS,103.820967,1.50458,2,False,False
332,486,7-Eleven,PERMAS,103.8892806,1.4834258,2,False,False
333,487,7-Eleven,PERMAS,103.9136849,1.4581765,1,False,False
334,488,7-Eleven,PERMAS,103.9099199,1.4882246,1,False,True
335,490,7-Eleven,PERMAS,103.9178912,1.4907444,1,False,False
336,543,MyNews,PERMAS,103.8958595,1.4769024,2,False,False
337,560,CU,PERMAS,103.8151972,1.4965159,2,False,False
338,564,CU,PERMAS,103.8938711,1.478562,2,False,False
339,14,99 Speedmart,LARKIN,103.7493975,1.5094736,4,False,False
340,27,99 Speedmart,LARKIN,103.7301603,1.5102642,4,False,False
341,36,99 Speedmart,LARKIN,103.7477596,1.5012916,4,False,False
342,96,99 Speedmart,LARKIN,103.7370942,1.4968545,4,False,False
343,98,99 Speedmart,LARKIN,103.7116349,1.4905769,4,False,True
344,101,99 Speedmart,LARKIN,103.7536631,1.4942662,4,False,False
345,106,99 Speedmart,LARKIN,103.7239705,1.4872725,4,False,False
346,111,99 Speedmart,LARKIN,103.7608123,1.4872045,4,False,False
347,112,99 Speedmart,LARKIN,103.7629105,1.4908112,4,False,False
348,114,99 Speedmart,LARKIN,103.7515913,1.486253,4,False,False
349,227,KK Super Mart,LARKIN,103.7176826,1.4995093,4,False,False
350,232,KK Super Mart,LARKIN,103.7615156,1.4859617,4,False,False
351,233,KK Super Mart,LARKIN,103.7419357,1.4970329,4,False,False
352,234,KK Super Mart,LARKIN,103.7642115,1.481063,4,False,False
353,235,KK Super Mart,LARKIN,103.7537865,1.4949396,4,False,False
354,236,KK Super Mart,LARKIN,103.7542634,1.4860929,4,False,False
355,289,Family Mart,LARKIN,103.7178253,1.4998639,4,False,False
356,295,Family Mart,LARKIN,103.7411478,1.4957873,4,False,False
357,298,Family Mart,LARKIN,103.7542023,1.4859808,4,False,False
358,300,Family Mart,LARKIN,103.7619976,1.4859251,4,False,False
359,310,Family Mart,LARKIN,103.741247,1.4955136,4,True,False
360,335,7-Eleven,LARKIN,103.7467776,1.5004691,4,False,False
361,346,7-Eleven,LARKIN,103.760292,1.5049595,4,False,False
362,353,7-Eleven,LARKIN,103.7487933,1.5008491,4,False,False
363,358,7-Eleven,LARKIN,103.7399323,1.4968745,4,False,False
364,363,7-Eleven,LARKIN,103.7534911,1.4947764,4,False,False
365,380,7-Eleven,LARKIN,103.7421634,1.4970766,4,False,False
366,418,7-Eleven,LARKIN,103.7102723,1.4990032,4,False,True
367,451,7-Eleven,LARKIN,103.7236293,1.4871832,4,False,True
368,454,7-Eleven,LARKIN,103.7600592,1.4867137,4,False,False
369,456,7-Eleven,LARKIN,103.7548326,1.4874208,4,False,False
370,457,7-Eleven,LARKIN,103.7124878,1.4895676,4,False,True
371,458,7-Eleven,LARKIN,103.7176749,1.4995132,4,False,False
372,558,CU,LARKIN,103.7539702,1.4856416,4,False,False
373,56,99 Speedmart,PERLING,103.7649642,1.4591726,4,False,False
374,89,99 Speedmart,PERLING,103.6853095,1.5036412,7,False,False
