number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_R,user_attrs_R,user_attrs_alpha,user_attrs_beta,user_attrs_community_distinction,user_attrs_gamma,user_attrs_ifr,user_attrs_inequality,user_attrs_modularity,user_attrs_n_comm,system_attrs_NSGAIISampler:generation,state
93,0.5077305874703579,0.5728098385684515,0.08723836521475814,0.9630635567390449,2025-11-21 04:54:57.614339,2025-11-21 04:54:58.385519,0 days 00:00:00.771180,7.39341057447971,7.39341057447971,0.31351339593660393,0.2915120772887333,0.08723836521475814,0.3949745267746626,0.9630635567390449,0.42719016143154853,0.5077305874703579,3,1,COMPLETE
94,0.5261170798368539,0.6166053902371076,0.06063965906962491,0.95781535909458,2025-11-21 04:54:58.387422,2025-11-21 04:54:59.204179,0 days 00:00:00.816757,9.59515538952289,9.59515538952289,0.24044351997037472,0.45027180690978963,0.06063965906962491,0.30928467311983565,0.95781535909458,0.38339460976289247,0.5261170798368539,3,1,COMPLETE
95,0.4021539643649204,0.40494296577946765,0.10407167123400102,0.9916327712770066,2025-11-21 04:54:59.206185,2025-11-21 04:55:00.027593,0 days 00:00:00.821408,6.684853761826103,6.684853761826103,0.7554193650855774,0.10945342758514463,0.10407167123400102,0.13512720732927802,0.9916327712770066,0.5950570342205324,0.4021539643649204,3,1,COMPLETE
96,0.4794533798889889,0.0,0.0,0.0,2025-11-21 04:55:00.027593,2025-11-21 04:55:00.851161,0 days 00:00:00.823568,6.988694708510938,6.988694708510938,0.14466026019841013,0.13389552354721534,0.0,0.7214442162543746,0.0,1.0,0.4794533798889889,2,1,COMPLETE
97,0.6907160615145873,0.7550662243216709,0.16915962581153396,0.941497281598216,2025-11-21 04:55:00.852608,2025-11-21 04:55:01.631552,0 days 00:00:00.778944,5.989180692764771,5.989180692764771,0.1489027216133207,0.40747763215409716,0.16915962581153396,0.4436196462325821,0.941497281598216,0.2449337756783291,0.6907160615145873,5,1,COMPLETE
98,0.7867619160521935,0.903573864613601,0.24559865566102598,0.8584865198184832,2025-11-21 04:55:01.633570,2025-11-21 04:55:02.522537,0 days 00:00:00.888967,1.7669008308129994,1.7669008308129994,0.4881871028101147,0.13197980200026221,0.24559865566102598,0.37983309518962294,0.8584865198184832,0.096426135386399,0.7867619160521935,16,1,COMPLETE
99,0.7958840243716417,0.9083574265960298,0.22610038302533114,0.8617473975271505,2025-11-21 04:55:02.525644,2025-11-21 04:55:03.483788,0 days 00:00:00.958144,2.6328599834296966,2.6328599834296966,0.129946140687169,0.40579434922842916,0.22610038302533114,0.4642595100844017,0.8617473975271505,0.09164257340397022,0.7958840243716417,17,1,COMPLETE
100,0.7560558162854627,0.0,0.0,0.0,2025-11-21 04:55:03.484781,2025-11-21 04:55:04.350632,0 days 00:00:00.865851,1.8300064497107096,1.8300064497107096,0.34176754991564445,0.44724238812258843,0.0,0.210990061961767,0.0,1.0,0.7560558162854627,37,2,COMPLETE
101,0.5366737914515076,0.63963979878442,0.046580732513878,0.954662329060415,2025-11-21 04:55:04.351632,2025-11-21 04:55:05.190849,0 days 00:00:00.839217,8.182309318269695,8.182309318269695,0.11501196393560463,0.38870837301233807,0.046580732513878,0.4962796630520574,0.954662329060415,0.36036020121557993,0.5366737914515076,3,2,COMPLETE
102,0.482288105191202,0.0,0.0,0.0,2025-11-21 04:55:05.191943,2025-11-21 04:55:06.003468,0 days 00:00:00.811525,4.80073780130143,4.80073780130143,0.10333582907091611,0.10530911702147208,0.0,0.7913550539076117,0.0,1.0,0.482288105191202,2,2,COMPLETE
